[0] 0.419320     PropMgr:e009294b:81:01: propst_ChangeAEMode Start
[0] 0.419356  **INT147h*:00103b4b:00:0f: [4] *** mpu_send(08 06 01 a7 01 01 00 00)
[0] 0.419380  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.419408  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 2/3)
[0] 0.419446     PropMgr:e009297f:81:03: Active Adjective & Situation 3->3
[0] 0.419502  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 1/2)
[0] 0.419541  **INT147h*:00103bcb:00:0f: [3] *** mpu_recv(06 05 01 06 20 00)
[0] 0.419569  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 2/3)
[0] 0.419612  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 1/2)
[0] 0.419646     PropMgr:e00ae52f:81:03: ReqChangeCBR : Adjective 0, 0
[0] 0.419679  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.419712  **INT147h*:00103bcb:00:0f: [4] *** mpu_recv(06 05 01 3f 00 00)
[0] 0.419740     PropMgr:e00ae589:81:03: Not ExecMultiConvert Already None : Adjective 0, 0
[0] 0.419767  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.419834  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.419870  **INT147h*:00103bcb:00:0f: [5] *** mpu_recv(06 05 01 99 00 00)
[0] 0.419898     PropMgr:e00ae62b:81:03: Not ExecMultiConvert : Situation 0
[0] 0.419923  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.419989  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.420024  **INT147h*:00103bcb:00:0f: [6] *** mpu_recv(06 05 01 9a 00 00)
[0] 0.420069  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.420111     PropMgr:e0092ce5:81:03: !! Convert End !!
[0] 0.420144  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.420178  **INT147h*:00103bcb:00:0f: [7] *** mpu_recv(06 05 01 06 20 00)
[0] 0.420224  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.420292  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.420325  **INT147h*:00103bcb:00:0f: [8] *** mpu_recv(06 05 01 3f 00 00)
[0] 0.420368  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.420435  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.420469  **INT147h*:00103bcb:00:0f: [9] *** mpu_recv(06 05 01 4f 01 00)
[0] 0.420492     PropMgr:e04e889d:02:03: DataType = 0x2000000 fModify = TRUE
[0] 0.420707     PropMgr:e0092f93:81:01: propst_ChangeAEMode End
[0] 0.420856     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.421007     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.421078  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
